transaction_id,customer_id,transaction_date,amount,transaction_type,branch_id
61,49.0,2026-02-05,686.85,Deposit,1016
62,418.0,2026-03-03,985.83,IMPS,1001
63,329.0,2026-01-16,9640.66,Transfer,1002
64,226.0,2026-06-29,7545.18,UPI,1018
65,103.0,2026-06-25,123414.51,Deposit,1005
66,227.0,2026-03-08,76213.87,IMPS,1016
67,181.0,2026-05-08,524.78,Withdrawal,1020
68,495.0,2026-01-31,75008.8,IMPS,1012
69,14.0,2026-02-22,223.8,IMPS,1009
70,308.0,2026-01-04,148383.72,UPI,1004
71,199.0,2026-03-26,604.11,Transfer,1001
72,5.0,2026-05-28,131801.06,NEFT,1017
73,494.0,2026-02-07,122484.77,Deposit,1013
74,378.0,2026-06-02,3633.02,NEFT,1006
75,231.0,2026-05-10,18460.63,NEFT,1008
76,249.0,2026-06-25,54302.2,Deposit,1005
77,290.0,2026-06-25,225.89,Deposit,1004
78,306.0,2026-06-15,54561.84,NEFT,1011
79,244.0,2026-03-31,5391.72,IMPS,1017
80,159.0,2026-01-27,45261.22,IMPS,1019
81,111.0,2026-04-14,997.8,Withdrawal,1002
82,180.0,2026-04-21,111089.11,UPI,1005
83,136.0,2026-04-03,62357.14,Deposit,1006
84,285.0,2026-06-07,116045.65,Transfer,1020
85,387.0,2026-05-15,67867.73,IMPS,1002
86,332.0,2026-05-17,634.88,Transfer,1017
87,147.0,2026-04-12,101784.96,NEFT,1015
88,219.0,2026-04-09,9725.86,Transfer,1010
89,165.0,2026-06-29,9569.21,Transfer,1010
90,408.0,2026-04-28,359.72,IMPS,1005
91,262.0,2026-05-08,117222.14,NEFT,1008
92,39.0,2026-03-29,94514.97,Withdrawal,1002
93,307.0,2026-06-14,806.96,Transfer,1008
94,76.0,2026-05-09,104321.45,IMPS,1007
95,353.0,2026-05-07,8417.42,Withdrawal,1010
96,279.0,2026-05-09,122643.33,IMPS,1018
97,221.0,2026-05-30,301.78,UPI,1008
98,498.0,2026-05-25,41773.29,Transfer,1004
99,465.0,2026-05-28,632.38,IMPS,1014
100,379.0,2026-05-06,5781.49,Withdrawal,1013
101,394.0,2026-05-01,214.56,UPI,1010
102,291.0,2026-06-20,115.04,IMPS,1002
103,157.0,2026-02-13,1317.67,Transfer,1005
104,424.0,2026-02-16,193.87,Withdrawal,1004
105,297.0,2026-01-16,83.35,NEFT,1001
106,200.0,2026-04-17,665.68,Withdrawal,1018
107,392.0,2026-05-27,472.06,NEFT,1010
108,87.0,2026-01-26,37693.7,Deposit,1008
109,324.0,2026-06-01,464.17,Deposit,1008
110,436.0,2026-01-28,839.46,NEFT,1015
111,390.0,2026-01-06,146.34,Deposit,1009
112,483.0,2026-04-23,57978.33,Withdrawal,1006
113,384.0,2026-03-06,973.53,Deposit,1018
114,38.0,2026-03-30,770.45,Transfer,1019
115,255.0,2026-06-25,156.44,Deposit,1008
116,145.0,2026-03-22,4794.24,Deposit,1008
117,381.0,2026-05-22,2761.3,Transfer,1019
118,426.0,2026-02-04,747.31,IMPS,1017
119,162.0,2026-04-20,105.03,Transfer,1001
120,406.0,2026-06-19,123338.34,IMPS,1018
121,151.0,2026-05-26,4701.14,Withdrawal,1012
122,75.0,2026-03-21,49504.3,Withdrawal,1013
123,174.0,2026-01-23,81559.27,Deposit,1014
124,462.0,2026-05-17,106938.64,Transfer,1007
125,451.0,2026-01-22,128329.82,Transfer,1009
126,314.0,2026-05-30,9738.48,Withdrawal,1014
127,448.0,2026-01-05,6378.29,Withdrawal,1012
128,125.0,2026-06-15,128575.69,Transfer,1019
129,371.0,2026-02-12,4662.66,UPI,1012
130,142.0,2026-05-18,8591.21,IMPS,1002
131,451.0,2026-03-23,16106.38,Transfer,1011
132,424.0,2026-06-29,948.33,NEFT,1011
133,132.0,2026-06-17,887.1,Deposit,1016
134,91.0,2026-03-17,8988.16,UPI,1007
135,417.0,2026-02-13,3137.42,Deposit,1003
136,290.0,2026-05-23,2872.32,UPI,1020
137,314.0,2026-04-11,384.37,IMPS,1003
138,89.0,2026-06-12,106724.21,IMPS,1008
139,278.0,2026-03-16,57668.48,NEFT,1010
140,81.0,2026-03-15,4811.24,IMPS,1006
141,457.0,2026-03-05,424.3,UPI,1007
142,7.0,2026-02-17,780.79,NEFT,1019
143,133.0,2026-05-07,106774.23,Deposit,1008
144,90.0,2026-06-25,481.63,Withdrawal,1011
145,66.0,2026-02-11,64824.12,UPI,1016
146,481.0,2026-05-26,7887.1,Withdrawal,1008
147,456.0,2026-02-11,513.75,Deposit,1013
148,454.0,2026-06-05,21827.6,Deposit,1003
149,224.0,2026-02-26,6163.4,IMPS,1015
150,420.0,2026-06-16,154.72,Transfer,1007
151,55.0,2026-01-31,148135.25,IMPS,1006
152,103.0,2026-05-15,8410.57,IMPS,1004
153,355.0,2026-03-01,454.28,NEFT,1009
154,304.0,2026-05-09,3185.9,Withdrawal,1012
155,162.0,2026-01-19,5870.32,Transfer,1012
156,274.0,2026-01-31,799.46,Withdrawal,1011
157,284.0,2026-01-30,199.27,Transfer,1018
158,461.0,2026-03-26,115923.63,IMPS,1019
159,99.0,2026-03-16,124891.24,UPI,1011
160,365.0,2026-03-11,8883.66,UPI,1010
161,496.0,2026-03-28,124467.15,Deposit,1018
162,479.0,2026-05-31,973.23,Deposit,1016
163,248.0,2026-03-15,803.41,IMPS,1015
164,402.0,2026-06-19,9677.75,UPI,1004
165,72.0,2026-03-30,2565.75,Deposit,1012
166,279.0,2026-02-05,310.28,Deposit,1018
167,87.0,2026-03-05,140907.27,IMPS,1011
168,349.0,2026-05-29,928.47,Withdrawal,1017
169,382.0,2026-04-10,7005.4,NEFT,1007
170,172.0,2026-04-25,39626.33,Deposit,1010
171,158.0,2026-05-05,127013.47,IMPS,1014
172,429.0,2026-04-18,1521.62,Withdrawal,1019
173,480.0,2026-05-22,48044.02,Transfer,1018
174,123.0,2026-05-30,19718.46,Transfer,1014
175,230.0,2026-04-14,420.09,Transfer,1007
176,332.0,2026-02-28,590.27,Deposit,1001
177,141.0,2026-06-22,593.76,IMPS,1010
178,358.0,2026-03-04,738.81,IMPS,1012
179,294.0,2026-02-24,1245.3,Withdrawal,1004
180,473.0,2026-05-23,515.58,IMPS,1014
181,295.0,2026-05-26,602.27,NEFT,1013
182,271.0,2026-02-11,67592.98,Deposit,1015
183,396.0,2026-02-12,3111.21,IMPS,1012
184,142.0,2026-06-07,136131.33,Withdrawal,1004
185,94.0,2026-05-08,74153.5,Withdrawal,1013
186,27.0,2026-04-27,6613.58,UPI,1018
187,218.0,2026-01-01,28156.85,IMPS,1019
188,88.0,2026-02-22,7320.08,UPI,1005
189,23.0,2026-01-16,134998.72,Deposit,1016
190,111.0,2026-03-27,5450.52,Deposit,1019
191,210.0,2026-03-25,35823.35,Withdrawal,1015
192,254.0,2026-05-23,53842.32,NEFT,1010
193,447.0,2026-04-04,365.43,NEFT,1012
194,282.0,2026-06-29,130.81,IMPS,1005
195,129.0,2026-02-22,89655.05,UPI,1017
196,271.0,2026-03-09,5264.3,IMPS,1003
197,232.0,2026-05-29,101387.22,IMPS,1019
198,370.0,2026-02-04,2414.03,IMPS,1010
199,153.0,2026-01-12,143.76,Withdrawal,1019
200,488.0,2026-02-22,73206.87,Transfer,1008
201,232.0,2026-05-16,1122.79,Withdrawal,1008
202,263.0,2026-02-01,79037.19,NEFT,1009
203,318.0,2026-01-22,733.73,NEFT,1015
204,271.0,2026-01-28,47217.14,Withdrawal,1003
205,93.0,2026-01-06,431.01,Transfer,1004
206,120.0,2026-01-24,917.23,Transfer,1020
207,120.0,2026-02-07,97920.04,Deposit,1007
208,333.0,2026-03-31,43951.78,NEFT,1005
209,189.0,2026-02-23,100138.03,Withdrawal,1019
210,69.0,2026-05-01,6238.72,UPI,1014
211,497.0,2026-04-17,155.28,Deposit,1017
212,216.0,2026-01-17,70.58,IMPS,1018
213,15.0,2026-01-24,975.19,Transfer,1011
214,219.0,2026-01-04,117865.89,NEFT,1010
215,132.0,2026-03-27,269.94,Deposit,1010
216,434.0,2026-05-25,423.6,Deposit,1011
217,408.0,2026-02-08,373.11,Transfer,1004
218,238.0,2026-03-01,52190.66,NEFT,1020
219,442.0,2026-02-22,373.0,Withdrawal,1009
220,28.0,2026-05-07,581.93,Withdrawal,1014
221,360.0,2026-05-10,8945.54,UPI,1013
222,127.0,2026-04-04,1031.92,NEFT,1014
223,91.0,2026-04-15,9270.97,Transfer,1005
224,415.0,2026-02-20,146309.78,IMPS,1008
225,84.0,2026-04-26,57241.43,NEFT,1010
226,209.0,2026-05-25,98.98,Deposit,1009
227,319.0,2026-01-10,2399.41,UPI,1013
228,436.0,2026-04-03,92539.84,Deposit,1006
229,416.0,2026-03-06,40629.35,Withdrawal,1019
230,153.0,2026-05-02,511.45,IMPS,1006
231,384.0,2026-03-31,307.5,Withdrawal,1009
232,104.0,2026-03-30,106227.9,Deposit,1003
233,4.0,2026-02-04,127185.42,IMPS,1016
234,422.0,2026-06-02,6102.44,IMPS,1019
235,37.0,2026-01-02,260.35,IMPS,1009
236,30.0,2026-04-10,6329.14,Withdrawal,1005
237,80.0,2026-04-13,95840.99,UPI,1012
238,310.0,2026-02-03,651.63,IMPS,1010
239,398.0,2026-01-04,5482.91,UPI,1001
240,351.0,2026-06-06,78747.62,Deposit,1002
241,487.0,2026-06-26,109026.89,Deposit,1019
242,433.0,2026-05-23,21281.24,NEFT,1001
243,147.0,2026-01-17,122181.14,UPI,1003
244,38.0,2026-02-27,8670.45,IMPS,1015
245,17.0,2026-06-30,1763.51,NEFT,1003
246,311.0,2026-02-25,136822.22,UPI,1009
247,378.0,2026-01-17,639.89,IMPS,1011
248,230.0,2026-05-22,325.29,Withdrawal,1013
249,69.0,2026-04-10,3358.85,IMPS,1009
250,37.0,2026-04-08,873.82,IMPS,1014
251,95.0,2026-05-03,6738.98,UPI,1020
252,287.0,2026-01-28,4762.72,NEFT,1016
253,189.0,2026-04-01,622.0,NEFT,1015
254,471.0,2026-04-25,110188.63,NEFT,1011
255,135.0,2026-02-07,72755.08,Deposit,1018
256,406.0,2026-05-09,24707.98,Transfer,1001
257,270.0,2026-05-27,86410.12,IMPS,1004
258,426.0,2026-04-21,1488.16,NEFT,1001
259,418.0,2026-06-21,396.18,Deposit,1017
260,40.0,2026-06-21,374.2,Withdrawal,1018
261,452.0,2026-01-10,131930.95,IMPS,1012
262,423.0,2026-05-01,66.93,Transfer,1004
263,75.0,2026-03-17,13852.25,Withdrawal,1005
264,9.0,2026-01-10,702.46,UPI,1020
265,26.0,2026-03-10,66442.77,Withdrawal,1001
266,197.0,2026-03-16,141.51,Transfer,1004
267,462.0,2026-05-14,235.83,IMPS,1017
268,329.0,2026-01-08,353.06,IMPS,1009
269,122.0,2026-03-09,734.09,Transfer,1007
270,73.0,2026-03-13,5867.08,NEFT,1004
271,235.0,2026-02-18,56905.35,UPI,1004
272,113.0,2026-06-17,51.34,UPI,1015
273,400.0,2026-03-15,890.46,Transfer,1014
274,348.0,2026-02-20,4195.43,Transfer,1004
275,104.0,2026-03-12,23014.55,Deposit,1009
276,95.0,2026-06-24,254.8,UPI,1010
277,237.0,2026-04-25,886.05,UPI,1015
278,404.0,2026-04-27,99178.62,NEFT,1002
279,91.0,2026-03-28,126445.14,UPI,1010
280,125.0,2026-06-06,538.55,UPI,1018
281,138.0,2026-02-24,247.36,IMPS,1019
282,467.0,2026-04-01,265.95,Deposit,1015
283,245.0,2026-04-20,528.08,Withdrawal,1013
284,74.0,2026-02-15,252.5,IMPS,1019
285,376.0,2026-01-16,2104.91,IMPS,1003
286,450.0,2026-03-13,625.27,NEFT,1017
287,415.0,2026-05-09,563.12,Deposit,1014
288,268.0,2026-05-01,25212.84,Transfer,1018
289,493.0,2026-01-08,9975.0,Transfer,1005
290,358.0,2026-03-12,121083.53,IMPS,1016
291,408.0,2026-02-16,8609.7,NEFT,1004
292,56.0,2026-05-16,899.48,Deposit,1010
293,126.0,2026-03-23,539.57,Deposit,1020
294,427.0,2026-06-07,6231.86,Transfer,1004
295,110.0,2026-04-22,4276.39,Transfer,1004
296,35.0,2026-01-03,8615.44,Deposit,1011
297,67.0,2026-04-05,156.82,IMPS,1012
298,394.0,2026-04-04,607.15,Transfer,1008
299,50.0,2026-06-15,2561.84,IMPS,1001
300,266.0,2026-03-11,51073.2,IMPS,1018
301,411.0,2026-06-10,129102.95,Transfer,1009
302,217.0,2026-01-07,9431.07,UPI,1016
303,361.0,2026-01-10,76472.5,NEFT,1017
304,43.0,2026-04-01,2069.43,Withdrawal,1007
305,189.0,2026-01-06,3051.49,Deposit,1013
306,305.0,2026-01-29,40735.45,Withdrawal,1006
307,5.0,2026-05-03,56.59,Withdrawal,1016
308,500.0,2026-03-12,5643.23,UPI,1002
309,173.0,2026-06-10,8362.51,IMPS,1018
310,126.0,2026-02-25,585.68,Deposit,1006
311,356.0,2026-03-30,56053.58,UPI,1008
312,360.0,2026-04-05,379.76,IMPS,1013
313,97.0,2026-04-03,488.38,Deposit,1011
314,221.0,2026-04-05,4031.96,IMPS,1005
315,129.0,2026-02-06,6633.81,Transfer,1011
316,456.0,2026-02-21,2471.99,Deposit,1010
317,300.0,2026-02-16,5620.72,IMPS,1014
318,482.0,2026-02-08,4663.22,Transfer,1020
319,55.0,2026-03-16,4889.84,UPI,1018
320,224.0,2026-06-22,29112.84,NEFT,1007
321,482.0,2026-03-27,208.1,NEFT,1001
322,18.0,2026-06-06,433.59,NEFT,1012
323,127.0,2026-01-21,64004.74,Withdrawal,1001
324,186.0,2026-05-06,331.4,Deposit,1010
325,439.0,2026-05-17,53811.43,IMPS,1014
326,477.0,2026-04-11,124016.41,Deposit,1002
327,160.0,2026-06-06,58804.26,UPI,1020
328,425.0,2026-05-02,6426.92,Withdrawal,1018
329,116.0,2026-02-03,100326.59,Withdrawal,1012
330,270.0,2026-04-10,79985.0,UPI,1019
331,184.0,2026-01-03,3901.43,IMPS,1014
332,467.0,2026-02-28,963.2,Deposit,1005
333,445.0,2026-02-11,27553.93,UPI,1004
334,330.0,2026-02-05,76871.55,Withdrawal,1001
335,425.0,2026-04-10,7158.01,IMPS,1015
336,87.0,2026-05-22,110795.4,Deposit,1020
337,8.0,2026-06-26,9981.68,UPI,1004
338,84.0,2026-04-28,180.44,Transfer,1009
339,293.0,2026-05-23,8970.12,Withdrawal,1007
340,63.0,2026-05-05,199.62,Withdrawal,1013
341,359.0,2026-02-04,434.12,UPI,1006
342,86.0,2026-06-05,488.2,NEFT,1018
343,249.0,2026-03-10,344.06,Transfer,1006
344,463.0,2026-04-09,9408.82,UPI,1008
345,102.0,2026-03-02,57.62,IMPS,1008
346,161.0,2026-04-11,408.41,NEFT,1015
347,367.0,2026-02-17,18379.28,Deposit,1016
348,41.0,2026-04-09,147696.1,Withdrawal,1018
349,79.0,2026-06-02,171.98,Transfer,1013
350,253.0,2026-01-02,56893.73,Deposit,1020
351,215.0,2026-02-08,40461.37,UPI,1019
352,277.0,2026-04-27,466.15,Deposit,1020
353,123.0,2026-03-08,1505.94,Transfer,1004
354,12.0,2026-06-04,41612.74,Deposit,1009
355,139.0,2026-03-27,133610.41,NEFT,1018
356,170.0,2026-03-01,939.8,NEFT,1011
357,451.0,2026-06-22,4181.99,NEFT,1017
358,377.0,2026-02-16,2319.37,IMPS,1012
359,171.0,2026-03-22,7867.51,IMPS,1002
360,121.0,2026-03-30,143916.01,Deposit,1009
361,12.0,2026-02-26,852.59,Withdrawal,1002
362,306.0,2026-03-02,7419.68,UPI,1008
363,36.0,2026-06-13,149622.45,NEFT,1020
364,274.0,2026-05-21,43382.81,Deposit,1013
365,149.0,2026-04-01,101215.51,IMPS,1007
366,348.0,2026-03-17,601.94,Withdrawal,1020
367,41.0,2026-01-26,109098.17,Withdrawal,1011
368,324.0,2026-01-19,30851.53,Withdrawal,1008
369,257.0,2026-06-29,972.26,IMPS,1005
370,137.0,2026-06-23,893.84,Withdrawal,1001
371,186.0,2026-06-28,5775.66,NEFT,1016
372,205.0,2026-01-18,556.6,Transfer,1011
373,486.0,2026-03-29,9071.88,NEFT,1019
374,434.0,2026-01-29,881.6,UPI,1008
375,35.0,2026-03-03,5939.29,UPI,1008
376,81.0,2026-06-24,871.64,NEFT,1002
377,490.0,2026-02-03,8634.18,Withdrawal,1004
378,269.0,2026-05-28,57124.75,NEFT,1020
379,378.0,2026-05-10,9276.63,UPI,1015
380,253.0,2026-04-04,28727.13,Deposit,1008
381,402.0,2026-03-19,4263.64,UPI,1007
382,261.0,2026-03-15,97637.67,Transfer,1010
383,2.0,2026-04-25,5308.75,Deposit,1007
384,67.0,2026-02-02,532.94,IMPS,1013
385,248.0,2026-01-11,1662.65,Transfer,1006
386,410.0,2026-03-13,42957.81,NEFT,1008
387,368.0,2026-03-22,9018.25,UPI,1014
388,44.0,2026-01-06,97072.43,IMPS,1003
389,396.0,2026-02-12,36273.61,NEFT,1010
390,193.0,2026-01-26,7394.38,IMPS,1004
391,80.0,2026-01-18,78353.05,Transfer,1007
392,294.0,2026-05-06,3053.82,Deposit,1007
393,120.0,2026-03-22,5355.11,Deposit,1018
394,96.0,2026-02-20,43966.45,IMPS,1002
395,248.0,2026-06-07,5952.12,Deposit,1007
396,50.0,2026-01-03,112.9,IMPS,1010
397,93.0,2026-05-14,731.24,Withdrawal,1013
398,68.0,2026-01-18,9279.74,UPI,1014
399,155.0,2026-06-25,10841.42,NEFT,1013
400,362.0,2026-05-07,75024.32,UPI,1007
401,197.0,2026-06-13,3655.57,Transfer,1001
402,109.0,2026-06-12,148909.47,UPI,1008
403,10.0,2026-04-12,540.43,Transfer,1018
404,18.0,2026-04-22,3261.62,IMPS,1011
405,130.0,2026-05-12,4422.31,NEFT,1008
406,448.0,2026-02-08,729.16,NEFT,1005
407,395.0,2026-03-11,950.7,NEFT,1008
408,467.0,2026-01-25,99157.73,Transfer,1009
409,403.0,2026-05-17,10671.59,UPI,1002
410,285.0,2026-04-30,449.91,Withdrawal,1016
411,366.0,2026-05-27,8947.14,Transfer,1001
412,39.0,2026-03-08,193.33,UPI,1020
413,321.0,2026-05-07,1762.17,IMPS,1019
414,35.0,2026-04-30,1847.73,UPI,1013
415,179.0,2026-04-27,810.79,NEFT,1016
416,329.0,2026-04-07,721.21,UPI,1010
417,197.0,2026-05-01,88589.59,IMPS,1015
418,30.0,2026-01-17,130134.02,Transfer,1007
419,465.0,2026-03-16,47306.43,NEFT,1004
420,316.0,2026-02-28,5525.26,UPI,1013
421,133.0,2026-06-06,78656.28,UPI,1002
422,174.0,2026-01-28,962.26,NEFT,1012
423,381.0,2026-05-28,21851.15,NEFT,1008
424,465.0,2026-01-11,70557.93,IMPS,1008
425,461.0,2026-01-07,3250.99,IMPS,1015
426,235.0,2026-02-18,535.85,Withdrawal,1006
427,124.0,2026-02-17,6599.94,Transfer,1004
428,4.0,2026-06-16,930.27,Transfer,1003
429,52.0,2026-02-08,5749.64,UPI,1004
430,174.0,2026-04-04,6240.74,Withdrawal,1005
431,405.0,2026-06-16,838.04,Transfer,1002
432,73.0,2026-04-22,97105.56,UPI,1005
433,436.0,2026-06-10,77617.06,Deposit,1015
434,143.0,2026-02-23,197.74,Transfer,1019
435,392.0,2026-01-29,143543.11,Withdrawal,1006
436,164.0,2026-04-09,6596.21,IMPS,1010
437,297.0,2026-06-10,7939.81,Withdrawal,1012
438,97.0,2026-05-08,73806.03,UPI,1003
439,31.0,2026-04-30,186.04,Deposit,1020
440,180.0,2026-01-24,29958.87,IMPS,1020
441,273.0,2026-05-01,279.78,IMPS,1008
442,436.0,2026-03-05,4131.31,NEFT,1011
443,267.0,2026-03-09,94275.25,IMPS,1018
444,101.0,2026-01-19,92.41,Deposit,1005
445,9.0,2026-02-19,62492.49,Withdrawal,1018
446,57.0,2026-05-17,108833.53,NEFT,1005
447,238.0,2026-05-18,415.59,NEFT,1005
448,184.0,2026-05-08,7466.14,Withdrawal,1012
449,118.0,2026-01-30,452.18,Deposit,1001
450,434.0,2026-03-16,31322.57,IMPS,1002
451,270.0,2026-05-12,133421.43,Deposit,1018
452,92.0,2026-06-01,3511.47,IMPS,1009
453,314.0,2026-02-25,52582.51,IMPS,1012
454,246.0,2026-04-04,542.17,IMPS,1019
455,350.0,2026-06-07,442.71,UPI,1001
456,489.0,2026-02-14,731.7,Transfer,1020
457,101.0,2026-03-16,9782.15,Withdrawal,1015
458,143.0,2026-05-05,8971.88,UPI,1014
459,454.0,2026-05-21,568.35,Deposit,1012
460,368.0,2026-01-04,402.08,Deposit,1019
461,361.0,2026-01-26,12580.83,NEFT,1018
462,281.0,2026-02-14,6869.18,NEFT,1008
463,292.0,2026-05-01,2092.78,Transfer,1002
464,443.0,2026-04-14,56.82,Transfer,1001
465,256.0,2026-05-22,588.28,NEFT,1004
466,302.0,2026-04-05,26033.65,UPI,1020
467,408.0,2026-05-16,181.55,Transfer,1016
468,355.0,2026-05-07,644.13,UPI,1014
469,1.0,2026-05-08,157.51,Transfer,1001
470,394.0,2026-02-23,4859.45,IMPS,1018
471,174.0,2026-04-25,1683.66,NEFT,1013
472,135.0,2026-03-10,2538.97,UPI,1013
473,493.0,2026-01-02,134398.0,UPI,1011
474,342.0,2026-06-25,70521.47,Deposit,1016
475,225.0,2026-06-23,6745.07,IMPS,1011
476,408.0,2026-06-11,4709.55,IMPS,1014
477,155.0,2026-02-21,130159.02,IMPS,1009
478,459.0,2026-03-31,943.16,UPI,1020
479,240.0,2026-03-06,5842.54,Withdrawal,1002
480,487.0,2026-03-24,652.44,Withdrawal,1020
481,15.0,2026-06-05,73493.49,NEFT,1002
482,118.0,2026-04-04,62494.23,Deposit,1008
483,345.0,2026-02-23,7433.68,UPI,1008
484,356.0,2026-01-11,4726.43,Withdrawal,1008
485,165.0,2026-02-22,149559.37,UPI,1003
486,19.0,2026-02-01,3486.12,UPI,1012
487,96.0,2026-03-20,5801.87,Transfer,1007
488,188.0,2026-04-23,4433.85,Transfer,1011
489,16.0,2026-02-06,245.21,Transfer,1018
490,432.0,2026-04-25,4056.14,UPI,1020
491,337.0,2026-01-29,134419.55,Transfer,1017
492,343.0,2026-04-22,7660.52,UPI,1012
493,217.0,2026-01-17,102646.91,UPI,1010
494,486.0,2026-01-14,37388.53,UPI,1005
495,397.0,2026-03-19,354.06,Transfer,1016
496,379.0,2026-03-20,56494.19,UPI,1014
497,43.0,2026-03-13,831.8,Withdrawal,1017
498,61.0,2026-06-17,103260.91,UPI,1012
499,347.0,2026-06-12,127192.91,IMPS,1007
500,384.0,2026-04-28,108.88,Withdrawal,1019
501,353.0,2026-05-23,989.24,IMPS,1002
502,17.0,2026-05-18,49031.5,UPI,1003
503,409.0,2026-05-08,5345.37,Deposit,1010
504,175.0,2026-01-04,7013.67,Deposit,1017
505,112.0,2026-03-27,953.08,Deposit,1009
506,327.0,2026-01-26,9352.87,Deposit,1008
507,175.0,2026-03-07,210.66,IMPS,1005
508,386.0,2026-06-03,104806.34,UPI,1010
509,121.0,2026-05-21,212.42,Deposit,1004
510,41.0,2026-05-18,20967.02,Withdrawal,1004
511,74.0,2026-02-18,785.9,NEFT,1008
512,385.0,2026-03-02,146126.78,Deposit,1013
513,16.0,2026-03-10,962.66,Deposit,1007
514,124.0,2026-05-28,4414.18,NEFT,1015
515,88.0,2026-02-21,9527.69,IMPS,1017
516,155.0,2026-03-10,9722.85,NEFT,1001
517,348.0,2026-05-25,79614.85,NEFT,1018
518,244.0,2026-01-11,105542.76,NEFT,1013
519,488.0,2026-03-14,779.88,Deposit,1008
520,477.0,2026-03-08,9698.83,UPI,1018
521,337.0,2026-06-01,882.68,IMPS,1012
522,226.0,2026-02-25,5922.47,Withdrawal,1006
523,19.0,2026-03-19,51241.17,Withdrawal,1011
524,380.0,2026-03-03,41377.07,UPI,1003
525,230.0,2026-01-28,53209.64,IMPS,1012
526,182.0,2026-01-09,4793.64,NEFT,1001
527,248.0,2026-06-16,204.45,Withdrawal,1018
528,49.0,2026-03-13,510.67,Transfer,1001
529,66.0,2026-01-14,11693.83,NEFT,1014
530,217.0,2026-01-31,27180.4,Withdrawal,1016
531,167.0,2026-03-01,843.94,NEFT,1005
532,273.0,2026-02-22,1650.73,Deposit,1009
533,256.0,2026-02-27,121160.24,UPI,1013
534,317.0,2026-01-29,97.81,NEFT,1015
535,101.0,2026-02-21,1951.05,Transfer,1015
536,330.0,2026-05-18,9660.57,Transfer,1017
537,264.0,2026-06-07,6308.15,Transfer,1002
538,381.0,2026-06-12,6126.58,Transfer,1015
539,111.0,2026-04-02,147624.16,UPI,1014
540,355.0,2026-03-25,142784.66,Transfer,1011
